gameid,team_blue,team_red,league,patch,pick_blue_1,pick_blue_2,pick_blue_3,pick_blue_4,pick_blue_5,pick_red_1,pick_red_2,pick_red_3,pick_red_4,pick_red_5,ban_blue_1,ban_blue_2,ban_blue_3,ban_blue_4,ban_blue_5,ban_red_1,ban_red_2,ban_red_3,ban_red_4,ban_red_5,result
10660-10660_game_1,LNG Esports,Rare Atom,DCup,13.24,Aatrox,Maokai,Orianna,Kalista,Senna,Rumble,Rell,LeBlanc,Varus,Renata Glasc,Akali,Nocturne,K'Sante,Lee Sin,Wukong,Poppy,Ashe,Neeko,Vi,Jarvan IV,1
10660-10660_game_2,LNG Esports,Rare Atom,DCup,13.24,Kennen,Bel'Veth,Neeko,Senna,Tahm Kench,Jax,Jarvan IV,LeBlanc,Kalista,Rell,Nocturne,Udyr,Renata Glasc,Nautilus,Lee Sin,Poppy,Ashe,Rumble,Tristana,Lucian,1
10660-10660_game_3,LNG Esports,Rare Atom,DCup,13.24,Jax,Bel'Veth,Neeko,Caitlyn,Lux,Aatrox,Lee Sin,Azir,Kalista,Renata Glasc,Rell,Nocturne,Tristana,Jarvan IV,Rumble,Poppy,Ashe,LeBlanc,Sejuani,Vi,0
10660-10660_game_4,Rare Atom,LNG Esports,DCup,13.24,Rumble,Jarvan IV,Tristana,Draven,Renata Glasc,Aatrox,Wukong,Orianna,Kalista,Senna,Poppy,LeBlanc,Neeko,Sejuani,Jax,Rell,Nocturne,Ashe,Azir,Akali,0
10661-10661_game_1,JD Gaming,Top Esports,DCup,13.24,Renekton,Xin Zhao,Azir,Varus,Nautilus,Aatrox,Lee Sin,Orianna,Lucian,Milio,Ashe,Akali,LeBlanc,Vi,Jax,Kalista,Nocturne,Neeko,Sejuani,Poppy,0
10661-10661_game_2,Top Esports,JD Gaming,DCup,13.24,Rumble,Poppy,Neeko,Lucian,Milio,Ryze,Lee Sin,Orianna,Xayah,Rakan,Varus,Nocturne,Azir,Jax,Udyr,Ashe,Kalista,LeBlanc,Akali,,0
10661-10661_game_3,JD Gaming,Top Esports,DCup,13.24,Jax,Nocturne,Neeko,Zeri,Lulu,Aatrox,Lee Sin,Orianna,Senna,Tahm Kench,Ashe,LeBlanc,Lucian,Rumble,Gragas,Kalista,Varus,Rakan,Kai'Sa,Ezreal,0
10661-10661_game_4,Top Esports,JD Gaming,DCup,13.24,Jax,Jarvan IV,Akali,Lucian,Nami,Renekton,Sejuani,Neeko,Zeri,Milio,Nocturne,Varus,Poppy,Lee Sin,Xin Zhao,LeBlanc,Ashe,Kalista,Vi,Rumble,0
10661-10661_game_5,JD Gaming,Top Esports,DCup,13.24,Jax,Xin Zhao,Neeko,Lucian,Nami,Gragas,Lee Sin,Sylas,Draven,Milio,Ashe,LeBlanc,Akali,Vi,Poppy,Kalista,Varus,Nocturne,Sejuani,Azir,0
10662-10662_game_1,Ninjas in Pyjamas,Bilibili Gaming,DCup,13.24,Aatrox,Lee Sin,LeBlanc,Caitlyn,Lux,Renekton,Nidalee,Tristana,Kalista,Renata Glasc,Nocturne,Neeko,Jax,Maokai,Sejuani,Rumble,Ashe,Poppy,Draven,Rakan,1
